epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.6705,2.01646,3.53943,2.43494,0.57381,0.04819,0.02601,0.01074,3.1987,4.14475,3.52103,0.000163399,0.000163399,0.0674837
2,23.6288,2.0917,2.99048,2.41653,0.51511,0.07229,0.00848,0.00238,2.81224,17.7385,3.82606,0.000330045,0.000330045,0.034317
3,35.5433,2.15053,2.9754,2.59882,0.00756,0.41956,0.00601,0.00162,2.86659,inf,7.42366,0.000496611,0.000496611,0.00115021
4,47.4744,2.19834,2.88002,2.5888,0.00924,0.46846,0.00986,0.00331,2.32672,inf,3.4378,0.000499725,0.000499725,0.000499725
5,59.3031,2.05964,2.74378,2.4623,0.00355,0.33133,0.00602,0.00198,2.4223,344.554,3.29716,0.000499512,0.000499512,0.000499512
6,71.1334,2.12209,2.64154,2.48865,0.01414,0.30652,0.01128,0.004,2.4336,37.0623,3.35223,0.000499237,0.000499237,0.000499237
7,82.9466,2.0858,2.61528,2.49037,0.07852,0.20482,0.06033,0.01984,2.22749,13.191,3.02221,0.000498902,0.000498902,0.000498902
8,95.4299,2.04815,2.55787,2.39502,0.65597,0.13253,0.1374,0.05039,2.35322,3.63789,2.8378,0.000498505,0.000498505,0.000498505
9,107.912,2.06337,2.58925,2.43108,0.61955,0.22289,0.14496,0.04654,2.21218,11.9759,2.93836,0.000498048,0.000498048,0.000498048
10,119.94,1.9848,2.51293,2.32999,0.60823,0.21084,0.1086,0.0368,2.27404,5.21615,2.82963,0.000497531,0.000497531,0.000497531
11,131.768,1.99946,2.43807,2.34535,0.14326,0.19277,0.15089,0.04986,2.23339,5.38274,2.74629,0.000496953,0.000496953,0.000496953
12,143.588,1.93289,2.35755,2.31007,0.25363,0.44164,0.21874,0.10462,2.07889,8.50485,2.6156,0.000496315,0.000496315,0.000496315
13,155.86,1.96663,2.43358,2.35168,0.27217,0.37668,0.21501,0.08766,2.15832,7.99418,2.69145,0.000495616,0.000495616,0.000495616
14,167.526,1.94362,2.43841,2.30585,0.71115,0.16867,0.24907,0.10022,1.94481,8.63211,2.50917,0.000494858,0.000494858,0.000494858
15,179.194,1.88409,2.35758,2.28338,0.35346,0.34054,0.31969,0.12633,2.11856,5.40758,2.75928,0.000494039,0.000494039,0.000494039
16,191.584,1.85129,2.25559,2.23022,0.76623,0.24096,0.36226,0.1286,1.97915,5.36781,2.61166,0.000493162,0.000493162,0.000493162
17,204.067,1.83768,2.26245,2.23729,0.46655,0.33381,0.38082,0.13077,2.16706,3.34568,2.74356,0.000492224,0.000492224,0.000492224
18,216.459,1.76575,2.2625,2.21335,0.32632,0.38604,0.30371,0.12869,2.0548,4.1122,2.60338,0.000491228,0.000491228,0.000491228
19,228.214,1.87852,2.25257,2.24772,0.5712,0.32759,0.42499,0.18439,1.96993,5.07321,2.50242,0.000490173,0.000490173,0.000490173
20,240.988,1.82665,2.31821,2.23261,0.57902,0.48434,0.39648,0.16758,2.0974,4.21912,2.64595,0.000489059,0.000489059,0.000489059
21,252.749,1.78577,2.23052,2.17156,0.49157,0.4107,0.42363,0.17848,2.0361,2.93051,2.72274,0.000487886,0.000487886,0.000487886
22,264.555,1.74599,2.18083,2.13962,0.45744,0.45752,0.43003,0.18716,1.86931,2.8615,2.37629,0.000486656,0.000486656,0.000486656
23,276.96,1.70641,2.05345,2.10349,0.45608,0.41743,0.42049,0.17675,2.02306,2.30671,2.47407,0.000485368,0.000485368,0.000485368
24,288.717,1.73857,2.00313,2.1225,0.74149,0.36947,0.48579,0.22549,1.94733,2.91329,2.44727,0.000484022,0.000484022,0.000484022
25,301.186,1.76471,2.09512,2.16183,0.38653,0.48157,0.43094,0.17648,1.98586,3.58809,2.51118,0.00048262,0.00048262,0.00048262
26,312.904,1.72389,2.00231,2.11183,0.58594,0.54262,0.55169,0.23853,1.9179,5.13897,2.51573,0.00048116,0.00048116,0.00048116
27,326.663,1.69094,2.01889,2.0554,0.45181,0.68285,0.53421,0.23713,2.17368,4.19489,2.90868,0.000479644,0.000479644,0.000479644
28,338.44,1.73435,2.08871,2.12958,0.49561,0.46421,0.49075,0.21717,1.94048,4.73388,2.5034,0.000478072,0.000478072,0.000478072
29,351.466,1.70002,2.03882,2.12852,0.4418,0.4985,0.50387,0.24758,1.90813,4.43689,2.4285,0.000476445,0.000476445,0.000476445
30,363.927,1.69809,2.00924,2.0662,0.53929,0.3879,0.44242,0.20574,2.10052,2.52896,2.58262,0.000474762,0.000474762,0.000474762
31,375.67,1.7218,2.07323,2.09736,0.54059,0.4837,0.50133,0.20708,2.12254,2.43751,2.59424,0.000473024,0.000473024,0.000473024
32,387.42,1.65142,1.96821,2.06421,0.36556,0.51782,0.41917,0.19792,1.97557,4.10321,2.60847,0.000471232,0.000471232,0.000471232
33,399.26,1.71061,2.03684,2.1152,0.58597,0.59993,0.60374,0.30203,1.71318,2.69536,2.24393,0.000469386,0.000469386,0.000469386
34,411.702,1.66329,1.97908,2.03518,0.49011,0.5121,0.5048,0.23648,1.93034,3.04744,2.45581,0.000467486,0.000467486,0.000467486
35,423.454,1.6082,1.8773,2.02253,0.48231,0.53107,0.51459,0.24545,1.92501,3.07648,2.40203,0.000465534,0.000465534,0.000465534
36,435.196,1.61777,1.9224,1.98469,0.55133,0.53047,0.5294,0.27624,1.94507,3.06706,2.45947,0.000463528,0.000463528,0.000463528
37,446.913,1.65573,1.79232,2.01557,0.61081,0.50643,0.53124,0.30242,1.68766,2.18034,2.23406,0.000461471,0.000461471,0.000461471
38,459.642,1.63241,1.78873,1.98118,0.5911,0.47176,0.4832,0.24535,1.76269,2.51887,2.29841,0.000459362,0.000459362,0.000459362
39,471.478,1.63295,1.90599,2.02331,0.52069,0.48127,0.47306,0.23731,1.93438,3.52066,2.42979,0.000457202,0.000457202,0.000457202
40,483.265,1.55135,1.79875,1.95896,0.56696,0.52468,0.59371,0.31369,1.87353,2.99358,2.46961,0.000454992,0.000454992,0.000454992
41,495.732,1.68066,1.89578,2.07494,0.60172,0.55457,0.61568,0.32679,1.68666,2.45086,2.21591,0.000452732,0.000452732,0.000452732
42,508.216,1.65457,1.85667,2.0309,0.7839,0.47025,0.64526,0.35122,1.62235,3.47807,2.23515,0.000450422,0.000450422,0.000450422
43,520.651,1.60556,1.82183,2.03955,0.58064,0.5124,0.55573,0.27859,1.77975,3.4253,2.33815,0.000448063,0.000448063,0.000448063
44,532.409,1.63817,1.78218,2.02323,0.54446,0.64422,0.58059,0.26691,2.05562,2.2708,2.69672,0.000445657,0.000445657,0.000445657
45,544.217,1.60572,1.83388,1.97056,0.67089,0.63702,0.62559,0.3222,2.00065,2.99917,2.56505,0.000443202,0.000443202,0.000443202
46,556.03,1.62518,1.81046,1.98752,0.59128,0.65081,0.62504,0.32951,1.90198,2.84137,2.36116,0.0004407,0.0004407,0.0004407
47,568.065,1.55568,1.77877,1.9033,0.65066,0.45655,0.5348,0.2458,2.06551,3.70415,2.70991,0.000438152,0.000438152,0.000438152
48,579.839,1.55538,1.76858,1.95534,0.67469,0.41602,0.55111,0.25619,1.94313,2.63228,2.46669,0.000435559,0.000435559,0.000435559
49,591.647,1.57879,1.73061,1.96137,0.789,0.51271,0.63692,0.35446,1.7961,2.90929,2.33553,0.00043292,0.00043292,0.00043292
50,604.115,1.59206,1.71633,1.94393,0.76883,0.48859,0.60397,0.31929,1.98987,2.4003,2.62725,0.000430236,0.000430236,0.000430236
51,615.861,1.6088,1.65658,2.00302,0.58964,0.66627,0.65105,0.35314,1.6224,2.19816,2.14066,0.000427509,0.000427509,0.000427509
52,627.631,1.56075,1.75741,1.92782,0.61307,0.68498,0.6824,0.3615,1.8054,2.48698,2.28747,0.000424738,0.000424738,0.000424738
53,640.087,1.51322,1.64583,1.91672,0.72784,0.704,0.69703,0.42176,1.5263,2.36409,2.11814,0.000421925,0.000421925,0.000421925
